Primary Type,Description,severity_score
BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER FIREARM,100.0
BATTERY,AGGRAVATED DOMESTIC BATTERY - HANDGUN,100.0
HOMICIDE,INVOLUNTARY MANSLAUGHTER,98.0
HOMICIDE,FIRST DEGREE MURDER,98.0
HOMICIDE,RECKLESS HOMICIDE,98.0
KIDNAPPING,AGGRAVATED,93.0
KIDNAPPING,CHILD ABDUCTION / STRANGER,93.0
BATTERY,AGGRAVATED POLICE OFFICER - HANDGUN,92.0
BATTERY,AGGRAVATED - HANDGUN,92.0
BATTERY,AGGRAVATED - OTHER FIREARM,92.0
BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,91.0
KIDNAPPING,FORCIBLE DETENTION,88.0
HUMAN TRAFFICKING,COMMERCIAL SEX ACTS,85.0
HUMAN TRAFFICKING,INVOLUNTARY SERVITUDE,85.0
OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,85.0
BATTERY,AGGRAVATED POLICE OFFICER - KNIFE / CUTTING INSTRUMENT,83.0
BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,83.0
BATTERY,AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,83.0
ASSAULT,AGGRAVATED - OTHER FIREARM,82.0
ASSAULT,AGGRAVATED POLICE OFFICER - OTHER FIREARM,82.0
ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - HANDGUN,82.0
ROBBERY,ARMED - OTHER FIREARM,82.0
ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - OTHER FIREARM,82.0
ASSAULT,AGGRAVATED POLICE OFFICER - HANDGUN,82.0
ROBBERY,ARMED - HANDGUN,82.0
ASSAULT,AGGRAVATED - HANDGUN,82.0
BATTERY,AGGRAVATED OF A CHILD,80.0
BATTERY,AGGRAVATED OF AN UNBORN CHILD,80.0
KIDNAPPING,UNLAWFUL VISITATION INTERFERENCE,78.0
KIDNAPPING,UNLAWFUL RESTRAINT,78.0
KIDNAPPING,KIDNAPPING,78.0
ARSON,AGGRAVATED,75.0
ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,73.0
ASSAULT,AGGRAVATED POLICE OFFICER - KNIFE / CUTTING INSTRUMENT,73.0
ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,73.0
ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,73.0
BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,73.0
WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,72.0
WEAPONS VIOLATION,UNLAWFUL SALE - OTHER FIREARM,72.0
WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,72.0
WEAPONS VIOLATION,DEFACE IDENTIFICATION MARKS OF FIREARM,72.0
WEAPONS VIOLATION,UNLAWFUL SALE - HANDGUN,72.0
WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,72.0
WEAPONS VIOLATION,UNLAWFUL SALE - DELIVERY OF FIREARM AT SCHOOL,72.0
WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,72.0
ROBBERY,ATTEMPT ARMED - OTHER FIREARM,72.0
WEAPONS VIOLATION,UNLAWFUL POSSESSION - OTHER FIREARM,72.0
WEAPONS VIOLATION,POSSESS FIREARM / AMMUNITION - NO FOID CARD,72.0
ROBBERY,ATTEMPT ARMED - HANDGUN,72.0
ROBBERY,AGGRAVATED,70.0
OFFENSE INVOLVING CHILDREN,DISTRIBUTION PHOTOGRAPH DEPICTING SEX ORGANS OF CHILD,70.0
OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,70.0
OFFENSE INVOLVING CHILDREN,CONTRIBUTE TO THE CRIMINAL DELINQUENCY OF CHILD,70.0
OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,70.0
OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,70.0
ROBBERY,ARMED - OTHER DANGEROUS WEAPON,70.0
OFFENSE INVOLVING CHILDREN,CONTRIBUTE TO THE DELINQUENCY OF CHILD,70.0
OFFENSE INVOLVING CHILDREN,CHILD ABUSE,70.0
OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,70.0
OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,70.0
OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,70.0
ROBBERY,AGGRAVATED VEHICULAR HIJACKING,70.0
CRIMINAL SEXUAL ASSAULT,AGGRAVATED - HANDGUN,67.0
CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER FIREARM,67.0
BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",65.0
BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",65.0
BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,65.0
BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",65.0
BATTERY,OF AN UNBORN CHILD,65.0
BATTERY,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,65.0
BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, SERIOUS INJURY",65.0
BATTERY,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,65.0
BATTERY,AGGRAVATED OF A SENIOR CITIZEN,65.0
